Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Flugplatz Merzbrueck,Aachen,AAH,EDKA,Germany,50.823194,6.186389,570
Aalborg,Aalborg,AAL,EKYT,Denmark,57.092789,9.849164,10
Vityazevo,Anapa,AAQ,URKA,Russia,45.002097,37.347272,174
Aarhus,Aarhus,AAR,EKAH,Denmark,56.300017,10.619008,82
Dyce,Aberdeen,ABZ,EGPD,United Kingdom,57.201944,-2.197778,215
St Gallen Altenrhein,Altenrhein,ACH,LSZR,Switzerland,47.485033,9.560775,1306
Alderney,Alderney,ACI,EGJA,Guernsey,49.706111,-2.214722,290
Adana,Adana,ADA,LTAF,Turkey,36.982166,35.280388,65
Adnan Menderes,Izmir,ADB,LTBJ,Turkey,38.292392,27.156953,412
Adiyaman Airport,Adiyaman,ADF,LTCP,Turkey,37.7314,38.4689,2216
Leuchars,Leuchars,ADX,EGQL,United Kingdom,56.372889,-2.868444,38
Sochi,Sochi,AER,URSS,Russia,43.449928,39.956589,89
Vigra,Alesund,AES,ENAL,Norway,62.560372,6.110164,69
Afyon,Afyon,AFY,LTAH,Turkey,38.726425,30.601114,3310
Augsburg,Augsburg,AGB,EDMA,Germany,48.425158,10.931764,1515
Wangerooge Airport,Wangerooge,AGE,EDWG,Germany,53.7828,7.91389,7
La Garenne,Agen,AGF,LFBA,France,44.174721,0.590556,204
Ängelholm-Helsingborg Airport,Ängelholm,AGH,ESTA,Sweden,56.2961,12.8471,68
Malaga,Malaga,AGP,LEMG,Spain,36.6749,-4.499106,52
Agrinion,Agrinion,AGQ,LGAG,Greece,38.602022,21.351208,154
Alghero,Alghero,AHO,LIEA,Italy,40.632133,8.290772,87
Campo Dell Oro,Ajaccio,AJA,LFKJ,France,41.923637,8.802917,18
Agri Airport,Agri,AJI,LTCO,Turkey,39.6546,43.0271,5462
Arvidsjaur,Arvidsjaur,AJR,ESNX,Sweden,65.590278,19.281944,1245
Akrotiri,Akrotiri,AKT,LCRA,Cyprus,34.590416,32.987861,76
Alicante,Alicante,ALC,LEAL,Spain,38.282169,-0.558156,142
Alta,Alta,ALF,ENAT,Norway,69.976111,23.371667,9
Albenga,Albenga,ALL,LIMG,Italy,44.050608,8.127428,148
Schiphol,Amsterdam,AMS,EHAM,Netherlands,52.308613,4.763889,-11
Amderma Airport,Amderma,AMV,ULDD,Russia,69.7633,61.5564,13
Angers-Loire Airport,Angers/Marcé,ANE,LFJR,France,47.5603,-0.312222,194
Brie Champniers,Angouleme,ANG,LFBU,France,45.729247,0.221456,436
Etimesgut,Ankara,ANK,LTAD,Turkey,39.949831,32.688622,2653
Deurne,Antwerp,ANR,EBAW,Belgium,51.189444,4.460278,39
Andenes,Andoya,ANX,ENAN,Norway,69.2925,16.144167,43
Altenburg Nobitz,Altenburg,AOC,EDAC,Germany,50.981817,12.506361,640
Anadolu Airport,Eskissehir,AOE,LTBY,Turkey,39.809858,30.519378,2588
Falconara,Ancona,AOI,LIPY,Italy,43.616389,13.362222,10
Karpathos,Karpathos,AOK,LGKP,Greece,35.421408,27.146008,66
Aosta Airport,Aosta,AOT,LIMW,Italy,45.738456,7.368719,1791
Talagi,Arkhangelsk,ARH,ULAA,Russia,64.360281,40.430167,19
Arlanda,Stockholm,ARN,ESSA,Sweden,59.651944,17.918611,137
Arad,Arad,ARW,LRAR,Romania,46.17655,21.262022,352
Astrakhan,Astrakhan,ASF,URWA,Russia,46.283333,48.006278,-65
Erkilet,Kayseri,ASR,LTAU,Turkey,38.770386,35.495428,3463
Eleftherios Venizelos Intl,Athens,ATH,LGAV,Greece,37.936358,23.944467,308
Augsburg HBF,Augsburg,AUB,AUGS,Germany,48.3655,10.886,1200
Branches,Auxerre,AUF,LFLA,France,47.850193,3.497111,523
Aurillac,Aurillac,AUR,LFLW,France,44.891388,2.421944,2096
Aviano Ab,Aviano,AVB,LIPA,Italy,46.031889,12.596472,410
Caumont,Avignon,AVN,LFMV,France,43.9073,4.901831,124
Dimokritos,Alexandroupolis,AXD,LGAL,Greece,40.855869,25.956264,24
Antalya,Antalya,AYT,LTAI,Turkey,36.898731,30.800461,177
Batman,Batman,BAL,LTCJ,Turkey,37.928969,41.116583,1822
Bamberg BF,Bamberg,BAM,BAMB,Germany,49.911,10.9,800
Tautii Magheraus,Baia Mare,BAY,LRBM,Romania,47.658389,23.470022,605
Barth,Barth,BBH,EDBH,Germany,54.33754,12.699705,23
Bautzen,Bautzen,BBJ,EDAB,Germany,51.193531,14.519747,568
Bembridge,Bembridge,BBP,EGHJ,United Kingdom,50.677778,-1.109444,53
Blackbushe,Blackbushe,BBS,EGLK,United Kingdom,51.323889,-0.8475,325
Aurel Vlaicu,Bucharest,BBU,LRBS,Romania,44.503194,26.102111,297
Bacau,Bacau,BCM,LRBC,Romania,46.521946,26.910278,607
Barcelona,Barcelona,BCN,LEBL,Spain,41.297078,2.078464,12
Bandirma,Bandirma,BDM,LTBG,Turkey,40.317972,27.977694,170
Casale,Brindisi,BDS,LIBR,Italy,40.657633,17.947033,47
Bardufoss,Bardufoss,BDU,ENDU,Norway,69.055758,18.540356,252
Benbecula,Benbecula,BEB,EGPL,United Kingdom,57.481111,-7.362778,19
Beograd,Belgrade,BEG,LYBE,Serbia,44.818444,20.309139,335
Honington,Honington,BEQ,EGXH,United Kingdom,52.342611,0.772939,174
Berlin Brandenburg Willy Brandt,Berlin,BER,EDDB,Germany,52.366667,13.503333,154
Guipavas,Brest,BES,LFRB,France,48.447911,-4.418539,325
Belfast Intl,Belfast,BFS,EGAA,United Kingdom,54.6575,-6.215833,268
Braganca,Braganca,BGC,LPBG,Portugal,41.8578,-6.707125,2241
Bingol,Bingol,BGG,LTCU,Turkey,38.86111,40.5925,3490
Flesland,Bergen,BGO,ENBR,Norway,60.293386,5.218142,170
Bergamo Orio Al Serio,Bergamo,BGY,LIME,Italy,45.673889,9.704166,782
Belfast City,Belfast,BHD,EGAC,United Kingdom,54.618056,-5.8725,15
Birmingham,Birmingham,BHX,EGBB,United Kingdom,52.453856,-1.748028,327
Poretta,Bastia,BIA,LFKB,France,42.552664,9.483731,26
Biessenhofen BF,Biessenhofen,BIE,BIES,Germany,47.851,10.634,1200
Bilbao,Bilbao,BIO,LEBB,Spain,43.301097,-2.910608,138
Anglet,Biarritz-bayonne,BIQ,LFBZ,France,43.468419,-1.523325,245
Batsfjord,Batsfjord,BJF,ENBS,Norway,70.600278,29.6925,490
Bodrum - Milas,Bodrum,BJV,LTFE,Turkey,37.249,27.667,19
Talavera La Real,Badajoz,BJZ,LEBZ,Spain,38.89125,-6.821333,609
Bykovo,Moscow,BKA,UUBB,Russia,55.617222,38.059999,427
Borlange,Borlange,BLE,ESSD,Sweden,60.422017,15.515211,503
Blackpool,Blackpool,BLK,EGNH,United Kingdom,53.771667,-3.028611,34
Billund,Billund,BLL,EKBI,Denmark,55.740322,9.151778,247
Bologna,Bologna,BLQ,LIPE,Italy,44.535444,11.288667,123
Bromma,Stockholm,BMA,ESSB,Sweden,59.354372,17.94165,47
Borkum,Borkum,BMK,EDWR,Germany,53.5955,6.709167,3
Bronnoy,Bronnoysund,BNN,ENBN,Norway,65.461111,12.2175,25
Banja Luka International Airport,Banja Luka,BNX,LQBK,Bosnia and Herzegovina,44.941444,17.297501,400
Merignac,Bordeaux,BOD,LFBD,France,44.828335,-0.715556,162
Bournemouth,Bournemouth,BOH,EGHH,United Kingdom,50.78,-1.8425,38
Burgas,Bourgas,BOJ,LBBG,Bulgaria,42.569583,27.515236,135
Bodo,Bodo,BOO,ENBO,Norway,67.269167,14.365278,42
